time,_dt,strain_zx_interface,stress_xx_interface,stress_xy_interface,stress_yy_interface,stress_yz_interface,stress_zx_interface,stress_zz_interface
0.97,0,0,0,0,0,0,0,0
0.98,0.01,-7.9807337198695e-08,-5.0018842344041,-3.2282954568479e-05,-4.9995942502334,-0.0011244833045381,-0.00027316672886696,-4.9988878592442
0.99,0.01,-8.0515969946166e-08,-5.4559109796638,3.6784195900897e-05,-5.4110902497128,1.0255361816128e-05,-0.00027445578274136,-4.9999854477595
1,0.01,0.00090180830075048,-5.0025660383817,-0.0033455907367183,-5.0039147841451,0.00024594964050655,6.5697757580003,-5.0000264787089
1.01,0.01,0.0009026555478204,-5.9292557410402,0.0039656826541355,-5.9000447452421,-0.00010599578358247,5.5019414227655,-4.9999396164397
1.02,0.01,0.00090039822778413,-5.56840860278,0.028372722851467,-6.0668373078536,2.259485527833e-05,0.57402715037882,-5.0000201740778
1.03,0.01,0.00049150518839432,-4.9878003684644,0.006187378831843,-5.0256779636643,6.5249873140882e-05,-4.4647874946733,-5.0000068156451
1.04,0.01,-0.00065589598971223,-5.0572259241252,0.0016810672789167,-5.0001474914038,-0.00018176300720114,-9.4085504073049,-4.9999075349777
1.05,0.01,-0.0025809005485657,-5.0738794244167,0.0027497424922319,-5.0048060179363,-8.1229324302211e-06,-16.760003050543,-5.0001238887248
1.06,0.01,-0.0055525396794158,-5.119866874499,0.0036566317771842,-5.0099920417963,-7.0940747242838e-05,-26.459369344711,-4.999686678062
1.07,0.01,-0.0097241132779345,-5.1616010330187,0.0041164877787582,-5.0222752734863,-1.1805168912708e-05,-38.390046500938,-5.0005178493963
