time,_dt,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
1.205,0.005,-0.001926222291003,-5.0378557867573,0.0021237177208143,-5.0134136688322,0.00085071332902446,-4.9987950092866,-9.0988225419235
1.21,0.005,-0.0022759920950189,-5.0230312346063,0.0040148098374728,-5.0128427230714,-0.00028076116725446,-5.0005095203296,-9.4581363384885
1.215,0.005,-0.0026352070567986,-5.0238195028882,0.0037390549108972,-5.0125137581204,0.00013149694072615,-5.0001783934084,-9.4381548319676
1.22,0.005,-0.0029746082139469,-5.0413911630759,0.0018289720507223,-5.0098817001838,-0.00044937233704318,-4.9991400652283,-9.5155402176624
1.225,0.005,-0.0032628642191538,-5.0398415624656,-0.0023747619475679,-5.0129727719563,0.00011150002738414,-5.0014934850748,-9.8823227126466
1.23,0.005,-0.0035033038750099,-4.986957502802,-0.002229268112335,-5.0080844092499,-9.5902351882923e-05,-4.9980873837322,-10.722615704044
1.235,0.005,-0.0037963996010178,-5.0396121193344,0.00094649156913065,-5.0167287999938,0.0001009349800807,-5.0021807155815,-10.256305863001
1.24,0.005,-0.0040578122232507,-5.0023541184251,0.010275772041166,-5.0066959127001,-8.6631243914913e-05,-4.9977146739128,-9.8725089768482
1.245,0.005,-0.0042594234516304,-5.0029915309432,0.01141827216202,-5.012022983404,0.00018050244280431,-5.0025877422306,-9.6710417314345
1.25,0.005,-0.0044329906326364,-5.0499643683057,-0.0035061778057764,-5.0111769237928,-0.00042672323242783,-4.9972918506026,-9.4585875207494
1.255,0.005,-0.0045027818447684,-5.0671233913404,0.0086386095742131,-5.0267727417648,0.00058794123283709,-5.0030938748006,-9.9094788010724
1.26,0.005,-0.0045683179621919,-4.9804351445147,-0.0036415956601208,-5.0199216055604,-0.00084364425625275,-4.9964772034742,-9.891855972663
