time,_dt,strain_zx_interface,stress_xx_interface,stress_xy_interface,stress_yy_interface,stress_yz_interface,stress_zx_interface,stress_zz_interface
0.97,0,0,0,0,0,0,0,0
0.975,0.005,-8.1185859140601e-08,-5.0022932133608,-3.2166173449506e-05,-5.0000037121828,-0.00074388884942182,-0.00027863581885295,-4.9992988793795
0.98,0.005,-8.1883440083086e-08,-5.4563276629074,-2.9761884104992e-06,-5.4117701512779,-2.1947928326413e-05,-0.00024538088815497,-4.9999565611181
0.985,0.005,-8.129234616868e-08,-5.649805124675,8.592703763629e-06,-5.5891920148543,-1.1434756032383e-05,-0.00025137400501891,-4.9999907305418
0.99,0.005,-8.2776939414363e-08,-5.7316928838705,4.3640484370208e-05,-5.6631628087296,-8.1674147057013e-06,-0.00024288635221144,-4.9999951598879
0.995,0.005,-8.6302565829452e-08,-5.7247886931891,-1.0038669094878e-05,-5.6589827015748,-3.0625592693824e-05,-0.00020940507355786,-5.0000229944136
1,0.005,-8.4231544041288e-08,-5.700553326912,-2.0805716709092e-05,-5.6399517436746,-8.3875512161516e-07,0.011657828439211,-5.0000004857677
1.005,0.005,-2.6808145665825e-08,-5.6830009551932,-0.0001659726242854,-5.6304461024474,-1.6928435303015e-05,0.17675390388139,-4.9999717570339
1.01,0.005,1.7000745878199e-07,-5.6702689008975,-0.001522225184557,-5.6258483945656,8.7865190489862e-05,0.70087359120487,-5.0001404919303
1.015,0.005,6.178909042947e-07,-5.6896375200205,-0.0012588164930889,-5.6343465802944,0.00012123044946996,1.6409257546959,-5.0001295271534
1.02,0.005,1.5734447259592e-06,-5.7838258681119,-0.013602982602151,-5.661193128384,5.1374823853294e-06,2.9648684979798,-5.000019102842
1.025,0.005,2.2707119633742e-05,-5.1592900209394,-0.018500412022142,-5.116125307773,9.2204623117336e-06,4.0942584302306,-4.9999940012108
1.03,0.005,6.9080186233461e-05,-5.0866156738525,-0.003407354461105,-5.040616317284,3.0011740601072e-05,5.0909314813843,-5.0000412332175
1.035,0.005,0.00016613896068355,-5.0608041659885,-0.0014071256791675,-5.0182388994177,-1.7643807342611e-05,5.5412450646242,-4.9998146388113
1.04,0.005,0.00029753259028257,-5.0402153014062,-0.00019273926805057,-5.0157081442949,8.446810660341e-05,5.6663054392881,-5.0002938301261
1.045,0.005,0.00043232911228342,-5.033251681151,-0.00013404694261812,-5.0138264620648,-0.00011536415537838,5.776807417155,-4.9995854857878
1.05,0.005,0.00056588369115606,-5.0372882178343,-9.4519327287369e-05,-5.0147755678021,0.00011989965878757,5.9659054876846,-5.0003950220102
1.055,0.005,0.00069433768275871,-5.0359981208738,-0.00050009803238851,-5.0136595837963,-0.00016392452885144,6.1414645355433,-4.9996175431668
1.06,0.005,0.00081893747985952,-5.042826568856,-0.00097134451311025,-5.0165490190316,0.00017378538314563,6.2580782409444,-5.0003657051232
1.065,0.005,0.00092969944504686,-5.0399714418401,0.000113109156198,-5.0167551318676,-0.00023219409909135,6.3249334439482,-4.9996504118993
1.07,0.005,0.0010326830135028,-5.0369697255236,-0.0044225129453588,-5.0178310113538,0.00028892224280589,6.2597051950186,-5.0002463742572
1.075,0.005,0.0011222377993208,-5.0252390531857,-0.00049274033705214,-5.0167341803169,-0.00026528281234476,5.9978821597991,-4.9998214947215
1.08,0.005,0.0011877511810023,-5.0444735919554,0.0006765071212086,-5.0213844294068,0.00032968781692116,5.6906406606209,-5.0000973445388
1.085,0.005,0.0011994763475625,-5.1082248546088,0.01170059344897,-5.0488603581444,-0.00033577146088676,5.6727243428456,-5.0001030735084
1.09,0.005,0.0011998297585796,-5.177426838161,0.01006230214775,-5.1082702432982,0.00031048346118745,5.2118900192401,-4.9997127206552
1.095,0.005,0.0012002399216202,-5.1730269315946,0.017056014338163,-5.0518750773438,-0.00026682673999614,4.0758136260274,-5.0002408851389
1.1,0.005,0.0011998923568454,-5.366218333825,0.027985183685846,-5.0134415796456,0.00030518324500752,2.208800173586,-4.9996423268114
1.105,0.005,0.0011976303476622,-5.7511002446963,0.016253048206408,-5.1102942408571,-0.00029344428981317,-0.27649056622722,-5.0003607300369
1.11,0.005,0.0011780686629741,-5.3463006873538,0.026185838366889,-5.0724401427333,0.00048698902940698,-2.8304115823676,-4.9995907575462
