time,_dt,strain_zx_interface,stress_xx_interface,stress_xy_interface,stress_yy_interface,stress_yz_interface,stress_zx_interface,stress_zz_interface
0.97,0,0,0,0,0,0,0,0
0.98,0.01,-8.1299065788705e-08,-5.0015615783414,-3.2356994274904e-05,-4.999271453981,-0.001517034736693,-0.00027907303795239,-4.9985669090532
0.99,0.01,-8.1996245200587e-08,-5.4559510904419,3.5822413454448e-06,-5.4112995851659,-1.1464155959275e-05,-0.00024611917650548,-4.9999627682556
1,0.01,-7.5400521414844e-08,-5.6493060181255,-2.494414864526e-05,-5.5891351705267,9.6566804244077e-06,0.017402427746359,-5.0000084500967
1.01,0.01,4.3450651871379e-08,-5.7328009931486,-0.0014652173049124,-5.6736160305319,3.8523328034186e-05,0.36653233041535,-5.0000422504708
1.02,0.01,6.548560013287e-07,-5.7043153164704,-0.0033502369267995,-5.6600611684311,-2.1879852530388e-05,1.7369031834664,-4.9999895849431
1.03,0.01,1.365438038023e-05,-5.298185785794,-0.03043958641022,-5.2686047966125,1.9994174795108e-06,3.9610524038643,-5.0000269542662
1.04,0.01,0.00012423745278065,-5.037062418036,-0.0024247128441289,-5.0185579877313,1.0561824257781e-05,5.3543834501954,-5.000035908745
1.05,0.01,0.00031290496753026,-5.0477156729333,-0.0012806384532897,-5.010196224285,-1.6565477247246e-05,6.2634028921448,-4.9998916937654
1.06,0.01,0.00055993569735415,-5.0332991796321,0.0001224690243592,-5.0115663233923,3.8970110728273e-05,6.6810896746247,-5.0000099013399
1.07,0.01,0.00082201839438092,-5.0277632662301,-0.0011174945797166,-5.0112346216911,-4.9091053947871e-05,6.9297731923011,-4.9997999635792
1.08,0.01,0.0010582379376458,-5.0346919788305,-0.00079315535284994,-5.0139309052676,7.3589110849365e-05,7.2430020707157,-5.0002312035594
1.09,0.01,0.0012527729777611,-5.0452509903934,0.00075738951542879,-5.0170263095787,-9.0907372568111e-05,7.5526381889557,-4.9997879897314
1.1,0.01,0.0013910721076645,-5.0550602617857,-0.001867681190016,-5.0241527888143,0.00017855224634801,7.6918368706885,-5.0002269817409
